_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
11;my;['my'];[('my', ['Det GEN ref1sg'])];['M0'];['my'];[('my', ['Det GEN ref1sg'])];[('my', 'Det')];mein(e);[['mein'], ['meine']];[''];[['66'], ['66']];[''];[''];aktiv;Welcome;I;d;;;[]
12;name;['name'];[('name', ['N 3sg'])];['N500'];['name'];[('name', ['N 3sg'])];[('name', 'N')];Name;[['Name']];[''];['66'];[''];[''];aktiv;Welcome;I;s;;;['7', '50', '8', '51', '30']
13;My name is;['My name is'];[('My', ['Pron GEN ref1sg']), ('name', ['N 3sg']), ('is', ['V 3sg PRES'])];['M0 M500 M2'];['my', 'name', 'be'];[('my', ['Pron GEN ref1sg']), ('name', ['N 3sg']), ('be', ['V 3sg PRES'])];[('my', 'Pron'), ('name', 'N'), ('be', 'V')];Ich heiße;[['Ich heiße']];[''];['04 08'];[''];[''];aktiv;Welcome;I;ph;;;['7', '50', '51', '30']
14;is;['is'];[('is', ['V 3sg PRES'])];['I2'];['be'];[('be', ['V 3sg PRES'])];[('be', 'V')];ist;[['ist']];[''];['082'];[''];[''];aktiv;Welcome;I;irr;;;['7', '50', '76', '45', '5', '6', '3', '21', '30', '56', '38', '57', '53', '79', '35', '37', '14', '61', '74', '72', '36', '4', '39', '51', '18', '19', '46', '77']
15;What's your name?;"[""What's your name""]";"[(""What's"", ['NVC 3sg PRES wh']), ('your', ['Pron GEN ref2nd']), ('name', ['N 3sg'])]";['W32000 W600 W500'];['what is', 'your', 'name'];[('what is', ['NVC 3sg PRES wh']), ('your', ['Pron GEN ref2nd']), ('name', ['N 3sg'])];[('what is', 'NVC'), ('your', 'Pron'), ('name', 'N')];Wie heißt du?;[['Wie heißt du']];[''];['3 082 2'];[''];[''];aktiv;Welcome;I;ph;;;[]
16;hello;['hello'];[('hello', ['I'])];['H4000'];['hello'];[('hello', ['I'])];[('hello', 'I')];hallo!;[['hallo']];[''];['05'];[''];[''];aktiv;Welcome;I;i;;;['59']
17;I'm (= I am);"[[""I'm""], ['I am']]";"[[(""I'm"", ['NVC 1sg PRES'])], [('I', ['Pron 1sg nom']), ('am', ['V 1sg PRES'])]]";[['I50'], ['I I5']];[['I am'], ['I', 'be']];[[('I am', ['NVC 1sg PRES'])], [('I', ['Pron 1sg nom']), ('be', ['V 1sg PRES'])]];[[('I am', 'NVC')], [('I', 'Pron'), ('be', 'V')]];ich bin, auch: ich heiße;[['ich bin'], ['ich heiße']];[''];[['04 16'], ['04 08']];[''];[''];aktiv;Welcome;I;ph;;;[]
18;am;['am'];[('am', ['V 1sg PRES'])];['A5'];['be'];[('be', ['V 1sg PRES'])];[('be', 'V')];bin;[['bin']];[''];['16'];[''];[''];aktiv;Welcome;I;irr;;;['7', '50', '76', '45', '5', '6', '3', '21', '30', '56', '38', '57', '53', '79', '35', '37', '14', '61', '74', '72', '36', '4', '39', '51', '18', '19', '46', '77']
19;Hello, I'm …;"[""Hello I'm""]";"[('Hello', ['I']), (""I'm"", ['NVC 1sg PRES'])]";['H4000 H50'];['hello', 'I am'];[('hello', ['I']), ('I am', ['NVC 1sg PRES'])];[('hello', 'I'), ('I am', 'NVC')];Hallo, ich heiße …;[['Hallo, ich heiße']];[''];['05  04 08'];[''];[''];aktiv;Welcome;I;ph;;;[]
20;Where are you from?;['Where are you from'];[('Where', ['Adv wh']), ('are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc']), ('from', ['Prep'])];['W6000 W60 W00 W650'];['where', 'are', 'you', 'from'];[('where', ['Adv wh']), ('are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc']), ('from', ['Prep'])];[('where', 'Adv'), ('are', 'V'), ('you', 'Pron'), ('from', 'Prep')];Woher kommst du?;[['Woher kommst du']];[''];['37 4682 2'];[''];[''];aktiv;Welcome;I;ph;;;[]
21;you;['you'];[('you', ['Pron 2nd nomacc'])];['Y00'];['you'];[('you', ['Pron 2nd nomacc'])];[('you', 'Pron')];du, dich, dir, Sie, Ihnen, ihr, euch;[['du'], ['dich'], ['dir'], ['Sie'], ['Ihnen'], ['ihr'], ['euch']];[''];[['2'], ['24'], ['27'], ['8'], ['066'], ['07'], ['04']];[''];[''];aktiv;Welcome;I;p;;;['29', '52', '18', '39', '6']
22;I'm from …;"[""I'm from""]";"[(""I'm"", ['NVC 1sg PRES']), ('from', ['Prep'])]";['I50 I650'];['I am', 'from'];[('I am', ['NVC 1sg PRES']), ('from', ['Prep'])];[('I am', 'NVC'), ('from', 'Prep')];Ich komme aus …;[['Ich komme aus']];[''];['04 46 08'];[''];[''];aktiv;Welcome;I;ph;;;[]
23;from;['from'];[('from', ['Prep'])];['F650'];['from'];[('from', ['Prep'])];[('from', 'Prep')];von, aus;[['von'], ['aus']];[''];[['36'], ['08']];[''];[''];aktiv;Welcome;I;pr;;;['32', '13', '6']
24;This is my brother/sister.;[['This is my brother'], ['This is my sister']];[[('This', ['Det']), ('is', ['V 3sg PRES']), ('my', ['Pron GEN ref1sg']), ('brother', ['N 3sg'])], [('This', ['Det']), ('is', ['V 3sg PRES']), ('my', ['Pron GEN ref1sg']), ('sister', ['N 3sg'])]];[['T200 T2 T0 T636000'], ['T200 T2 T0 T23600']];[['this', 'be', 'my', 'brother'], ['this', 'be', 'my', 'sister']];[[('this', ['Det']), ('be', ['V 3sg PRES']), ('my', ['Pron GEN ref1sg']), ('brother', ['N 3sg'])], [('this', ['Det']), ('be', ['V 3sg PRES']), ('my', ['Pron GEN ref1sg']), ('sister', ['N 3sg'])]];[[('this', 'Det'), ('be', 'V'), ('my', 'Pron'), ('brother', 'N')], [('this', 'Det'), ('be', 'V'), ('my', 'Pron'), ('sister', 'N')]];Das ist mein Bruder/meine Schwester.;[['Das ist mein Bruder'], ['Das ist meine Schwester']];[''];[['28 082 66 1727'], ['28 082 66 83827']];[''];[''];aktiv;Welcome;I;ph;;;['14']
25;this;['this'];[('this', [['Pron']])];['T200'];['this'];[('this', [['Pron']])];[('this', 'Pron')];diese(r, s), das;[['diese'], ['dieser'], ['dieses'], ['das']];[''];[['28'], ['287'], ['288'], ['28']];[''];[''];aktiv;Welcome;I;p;;;[]
26;brother;['brother'];[('brother', ['N 3sg'])];['B636000'];['brother'];[('brother', ['N 3sg'])];[('brother', 'N')];Bruder;[['Bruder']];[''];['1727'];[''];[''];aktiv;Welcome;I;s;;;['79', '14']
27;sister;['sister'];[('sister', ['N 3sg'])];['S23600'];['sister'];[('sister', ['N 3sg'])];[('sister', 'N')];Schwester;[['Schwester']];[''];['83827'];[''];[''];aktiv;Welcome;I;s;;;[]
28;How old are you?;['How old are you'];[('How', ['Adv wh']), ('old', ['A']), ('are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc'])];['H00 H43 H60 H00'];['how', 'old', 'are', 'you'];[('how', ['Adv wh']), ('old', ['A']), ('are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc'])];[('how', 'Adv'), ('old', 'A'), ('are', 'V'), ('you', 'Pron')];Wie alt bist du?;[['Wie alt bist du']];[''];['3 052 182 2'];[''];[''];aktiv;Welcome;I;ph;;;[]
29;how;['how'];[('how', ['Adv wh'])];['H00'];['how'];[('how', ['Adv wh'])];[('how', 'Adv')];wie;[['wie']];[''];['3'];[''];[''];aktiv;Welcome;I;av;;;['52', '18']
30;old;['old'];[('old', ['A'])];['O43'];['old'];[('old', ['A'])];[('old', 'A')];alt;[['alt']];[''];['052'];[''];[''];aktiv;Welcome;I;a;;;['18']
31;I'm ten.;"[""I'm ten""]";"[(""I'm"", ['NVC 1sg PRES']), ('ten', ['CD'])]";['I50 I50'];['I am', 'ten'];[('I am', ['NVC 1sg PRES']), ('ten', ['CD'])];[('I am', 'NVC'), ('ten', 'CD')];Ich bin zehn (Jahre alt).;[['Ich bin zehn'], ['Ich bin zehn Jahre alt']];[''];[['04 16 86'], ['04 16 86 07 052']];[''];[''];aktiv;Welcome;I;ph;;;[]
32;are;['are'];[('are', ['V 2sg PRES', 'V PRES pl'])];['A60'];['are'];[('are', ['V 2sg PRES', 'V PRES pl'])];[('are', 'V')];bist, sind, seid;[['bist'], ['sind'], ['seid']];[''];[['182'], ['862'], ['82']];[''];[''];aktiv;Welcome;I;v;;;[]
33;I'm eleven years old.;"[""I'm eleven years old""]";"[(""I'm"", ['NVC 1sg PRES']), ('eleven', ['N 3sg']), ('years', ['N 3pl']), ('old', ['A'])]";['I50 I41500 I6200 I43'];['I am', 'eleven', 'year', 'old'];[('I am', ['NVC 1sg PRES']), ('eleven', ['N 3sg']), ('year', ['N 3pl']), ('old', ['A'])];[('I am', 'NVC'), ('eleven', 'N'), ('year', 'N'), ('old', 'A')];Ich bin elf (Jahre alt).;[['Ich bin elf'], ['Ich bin elf Jahre alt']];[''];[['04 16 053'], ['04 16 053 07 052']];[''];[''];aktiv;Welcome;I;ph;;;[]
34;We're twelve.;"[""We're twelve""]";"[(""We're"", ['NVC 1pl PRES']), ('twelve', ['N 3sg'])]";['W6000 W41000'];['we are', 'twelve'];[('we are', ['NVC 1pl PRES']), ('twelve', ['N 3sg'])];[('we are', 'NVC'), ('twelve', 'N')];Wir sind zwölf (Jahre alt).;[['Wir sind zwölf'], ['Wir sind zwölf Jahre alt']];[''];[['37 862 8353'], ['37 862 8353 07 052']];[''];[''];aktiv;Welcome;I;ph;;;[]
35;I'm … years old.;"[""I'm years old""]";"[(""I'm"", ['NVC 1sg PRES']), ('years', ['N 3pl']), ('old', ['A'])]";['I50 I6200 I43'];['I am', 'year', 'old'];[('I am', ['NVC 1sg PRES']), ('year', ['N 3pl']), ('old', ['A'])];[('I am', 'NVC'), ('year', 'N'), ('old', 'A')];Ich bin … Jahre alt.;[['Ich bin Jahre alt']];[''];['04 16 07 052'];[''];[''];aktiv;Welcome;I;ph;;;[]
36;year;['year'];[('year', ['N 3sg'])];['Y600'];['year'];[('year', ['N 3sg'])];[('year', 'N')];Jahr;[['Jahr']];[''];['07'];[''];[''];aktiv;Welcome;I;s;;;[]
37;we're (= we are);"[[""we're""], ['we are']]";"[[(""we're"", ['NVC 1pl PRES'])], [('we', ['Pron 1pl nom']), ('are', ['V 2sg PRES', 'V PRES pl'])]]";[['W6000'], ['W0 W60']];[['we are'], ['we', 'are']];[[('we are', ['NVC 1pl PRES'])], [('we', ['Pron 1pl nom']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[[('we are', 'NVC')], [('we', 'Pron'), ('are', 'V')]];wir sind;[['wir sind']];[''];['37 862'];[''];[''];aktiv;Welcome;I;ph;;;[]
38;we;['we'];[('we', ['Pron 1pl nom'])];['W0'];['we'];[('we', ['Pron 1pl nom'])];[('we', 'Pron')];wir;[['wir']];[''];['37'];[''];[''];aktiv;Welcome;I;p;;;['68']
39;too;['too'];[('too', ['Adv'])];['T00'];['too'];[('too', ['Adv'])];[('too', 'Adv')];auch;[['auch']];[''];['04'];[''];[''];aktiv;Welcome;I;av;I like elephants, *too*.;;['67', '56', '72', '79', '25']
40;twin;['twin'];[('twin', ['N 3sg'])];['T500'];['twin'];[('twin', ['N 3sg'])];[('twin', 'N')];Zwilling;[['Zwilling']];[''];['83564'];[''];[''];passiv;Welcome;I;s;;;['26']
41;Elephants are my favourite animals.;['Elephants are my favourite animals'];[('Elephants', ['N pl']), ('are', ['V 2sg PRES', 'V PRES pl']), ('my', ['Pron GEN ref1sg']), ('favourite', ['A']), ('animals', ['N 3pl'])];['E41532000 E60 E0 E16300000 E554200'];['Elephant', 'are', 'my', 'favourite', 'animal'];[('Elephant', ['N pl']), ('are', ['V 2sg PRES', 'V PRES pl']), ('my', ['Pron GEN ref1sg']), ('favourite', ['A']), ('animal', ['N 3pl'])];[('Elephant', 'N'), ('are', 'V'), ('my', 'Pron'), ('favourite', 'A'), ('animal', 'N')];Elefanten sind meine Lieblingstiere.;[['Elefanten sind meine Lieblingstiere']];[''];['053626 862 66 51564827'];[''];[''];aktiv;Welcome;I;ph;;;[]
42;elephant;['elephant'];[('elephant', ['N'])];['E4153000'];['elephant'];[('elephant', ['N'])];[('elephant', 'N')];Elefant;[['Elefant']];[''];['05362'];[''];[''];aktiv;Welcome;I;s;;;['16', '17', '19', '83']
43;My favourite … is;['My favourite is'];[('My', ['Pron GEN ref1sg']), ('favourite', ['N 3sg']), ('is', ['V 3sg PRES'])];['M0 M16300000 M2'];['my', 'favourite', 'be'];[('my', ['Pron GEN ref1sg']), ('favourite', ['N 3sg']), ('be', ['V 3sg PRES'])];[('my', 'Pron'), ('favourite', 'N'), ('be', 'V')];Mein Lieblings… ist;[['Mein Lieblings… ist']];[''];['66 515648 082'];[''];[''];aktiv;Welcome;I;ph;;;[]
44;favourite;['favourite'];[('favourite', ['A'])];['F16300000'];['favourite'];[('favourite', ['A'])];[('favourite', 'A')];Lieblings-;[['Lieblings-'], ['Lieblings']];[''];[['515648'], ['515648']];[''];[''];aktiv;Welcome;I;a;;;['37', '77', '19', '36']
45;animal;['animal'];[('animal', ['N 3sg'])];['A55400'];['animal'];[('animal', ['N 3sg'])];[('animal', 'N')];Tier;[['Tier']];[''];['27'];[''];[''];aktiv;Welcome;I;s;;;['19']
46;boring;['boring'];[('boring', ['A'])];['B65200'];['bore'];[('bore', ['A'])];[('bore', 'A')];langweilig;[['langweilig']];[''];['564354'];[''];[''];passiv;Welcome;I;a;;;[]
47;don't (= do not);"[[""don't""], ['do not']]";"[[(""don't"", ['V CONTR NEG PRES'])], [('do', ['V INF']), ('not', ['Adv'])]]";[['D5300'], ['D0 D30']];[['do'], ['do', 'not']];[[('do', ['V CONTR NEG PRES'])], [('do', ['V INF']), ('not', ['Adv'])]];[[('do', 'V')], [('do', 'V'), ('not', 'Adv')]];nicht tun, nicht machen;[['nicht tun'], ['nicht machen']];[''];[['642 26'], ['642 646']];[''];[''];aktiv;Welcome;I;ph;;;['48']
48;to like;['to like'];[('to', ['V TO']), ('like', ['V INF'])];['T0 T200'];['like'];[('like', ['V INF'])];[('like', 'V')];mögen;[['mögen']];[''];['646'];[''];[''];aktiv;Welcome;I;v;;;['55', '20', '33', '54', '58']
49;I like;['I like'];[('I', ['Pron 1sg nom']), ('like', ['V INF'])];['I I200'];['I', 'like'];[('I', ['Pron 1sg nom']), ('like', ['V INF'])];[('I', 'Pron'), ('like', 'V')];Ich mag;[['Ich mag']];[''];['04 64'];[''];[''];aktiv;Welcome;I;ph;;;['55', '20', '33', '54', '58']
50;I don't like …;"[""I don't like""]";"[('I', ['Pron 1sg nom']), (""don't"", ['V CONTR NEG PRES']), ('like', ['V INF'])]";['I I5300 I200'];['I', 'do', 'like'];[('I', ['Pron 1sg nom']), ('do', ['V CONTR NEG PRES']), ('like', ['V INF'])];[('I', 'Pron'), ('do', 'V'), ('like', 'V')];Ich mag … nicht.;[['Ich mag nicht']];[''];['04 64 642'];[''];[''];aktiv;Welcome;I;ph;;;[]
51;football;['football'];[('football', ['N 3sg'])];['F3140000'];['football'];[('football', ['N 3sg'])];[('football', 'N')];Fußball;[['Fußball']];[''];['3815'];[''];[''];aktiv;Welcome;I;s;;ID1383699;['62', '74', '63', '20', '79']
52;to read;['to read'];[('to', ['V TO']), ('read', ['V PAST STR', 'V PPART STR', 'V INF'])];['T0 T300'];['read'];[('read', ['V PAST STR', 'V PPART STR', 'V INF'])];[('read', 'V')];lesen;[['lesen']];[''];['586'];[''];[''];aktiv;Welcome;I;irr;*Read* the text.;;['35']
53;the;['the'];[('the', ['Det'])];['T00'];['the'];[('the', ['Det'])];[('the', 'Det')];der/die/das;[['der'], ['die'], ['das']];[''];[['27'], ['2'], ['28']];[''];[''];aktiv;Welcome;I;d;;;['83', '41', '45', '46', '49', '5', '36']
54;What do you like?;['What do you like'];[('What', ['Pron 3sg wh']), ('do', ['V INF']), ('you', ['Pron 2nd nomacc']), ('like', ['V INF'])];['W300 W0 W00 W200'];['what', 'do', 'you', 'like'];[('what', ['Pron 3sg wh']), ('do', ['V INF']), ('you', ['Pron 2nd nomacc']), ('like', ['V INF'])];[('what', 'Pron'), ('do', 'V'), ('you', 'Pron'), ('like', 'V')];Was magst du?;[['Was magst du']];[''];['38 6482 2'];[''];[''];aktiv;Welcome;I;ph;;;[]
55;What don't you like?;"[""What don't you like""]";"[('What', ['Pron 3sg wh']), (""don't"", ['V CONTR NEG PRES']), ('you', ['Pron 2nd nomacc']), ('like', ['V INF'])]";['W300 W5300 W00 W200'];['what', 'do', 'you', 'like'];[('what', ['Pron 3sg wh']), ('do', ['V CONTR NEG PRES']), ('you', ['Pron 2nd nomacc']), ('like', ['V INF'])];[('what', 'Pron'), ('do', 'V'), ('you', 'Pron'), ('like', 'V')];Was magst du nicht?;[['Was magst du nicht']];[''];['38 6482 2 642'];[''];[''];aktiv;Welcome;I;ph;;;[]
56;What about you?;['What about you'];[('What', ['Pron 3sg wh']), ('about', ['Prep']), ('you', ['Pron 2nd nomacc'])];['W300 W1300 W00'];['what', 'about', 'you'];[('what', ['Pron 3sg wh']), ('about', ['Prep']), ('you', ['Pron 2nd nomacc'])];[('what', 'Pron'), ('about', 'Prep'), ('you', 'Pron')];Was ist mit dir?;[['Was ist mit dir']];[''];['38 082 62 27'];[''];[''];aktiv;Welcome;I;ph;;;[]
57;what;['what'];[('what', ['Pron 3sg wh'])];['W300'];['what'];[('what', ['Pron 3sg wh'])];[('what', 'Pron')];was;[['was']];[''];['38'];[''];[''];aktiv;Welcome;I;p;;;['29', '53']
58;picture;['picture'];[('picture', ['N 3sg'])];['P236000'];['picture'];[('picture', ['N 3sg'])];[('picture', 'N')];Bild;[['Bild']];[''];['152'];[''];[''];aktiv;Welcome;I;s;;;[]
59;What's … in English?;"[""What's in English""]";"[(""What's"", ['NVC 3sg PRES wh']), ('in', ['Prep']), ('English', ['N 3sg'])]";['W32000 W5 W524200'];['what is', 'in', 'English'];[('what is', ['NVC 3sg PRES wh']), ('in', ['Prep']), ('English', ['N 3sg'])];[('what is', 'NVC'), ('in', 'Prep'), ('English', 'N')];Was bedeutet … auf Englisch?;[['Was bedeutet auf Englisch']];[''];['38 1222 03 06458'];[''];[''];aktiv;Welcome;I;ph;"*What's* ""Bild"" *in English?* - *Picture*.";;[]
60;English;['English'];[('English', ['A', 'N 3sg'])];['E524200'];['English'];[('English', ['A', 'N 3sg'])];[[('English', 'A')], [('English', 'N')]];Englisch, englisch;[['Englisch'], ['englisch']];[''];[['06458'], ['06458']];[''];[''];aktiv;Welcome;I;s/a;;;[]
61;in English;['in English'];[('in', ['Prep']), ('English', ['N 3sg'])];['I5 I524200'];['in', 'English'];[('in', ['Prep']), ('English', ['N 3sg'])];[('in', 'Prep'), ('English', 'N')];auf Englisch;[['auf Englisch']];[''];['03 06458'];[''];[''];aktiv;Welcome;I;ph;;;[]
62;to write;['to write'];[('to', ['V TO']), ('write', ['V INF'])];['T0 T6300'];['write'];[('write', ['V INF'])];[('write', 'V')];schreiben;[['schreiben']];[''];['8716'];[''];[''];aktiv;Welcome;I;irr;;;[]
63;to write down;['to write down'];[('to', ['V TO']), ('write', ['V INF']), ('down', ['V INF'])];['T0 T6300 T500'];['write', 'down'];[('write', ['V INF']), ('down', ['V INF'])];[('write', 'V'), ('down', 'V')];aufschreiben, niederschreiben;[['aufschreiben'], ['niederschreiben']];[''];[['038716'], ['6278716']];[''];[''];aktiv;Welcome;I;irr;;;[]
64;dog;['dog'];[('dog', ['N 3sg'])];['D20'];['dog'];[('dog', ['N 3sg'])];[('dog', 'N')];Hund;[['Hund']];[''];['062'];[''];[''];aktiv;Welcome;I;s;;ID1383698;['62', '33', '5', '61']
65;reading (no pl);['reading'];[('reading', ['N 3sg'])];['R352000'];['read'];[('read', ['N 3sg'])];[('read', 'N')];Lesen;[['Lesen']];[''];['586'];[''];[''];passiv;Welcome;I;s;;;[]
66;phone number;['phone number'];[('phone', ['N 3sg']), ('number', ['N 3sg'])];['P5000 P51600'];['phone', 'numb'];[('phone', ['N 3sg']), ('numb', ['N 3sg'])];[('phone', 'N'), ('numb', 'N')];Telefonnummer;[['Telefonnummer']];[''];['253667'];[''];[''];passiv;Welcome;I;s;;;[]
67;to find;['to find'];[('to', ['V TO']), ('find', ['V INF'])];['T0 T530'];['find'];[('find', ['V INF'])];[('find', 'V')];finden;[['finden']];[''];['3626'];[''];[''];aktiv;Welcome;I;irr;Where is my bag? I can't *find* it.;;[]
68;pet;['pet'];[('pet', ['N 3sg'])];['P30'];['pet'];[('pet', ['N 3sg'])];[('pet', 'N')];Haustier;[['Haustier']];[''];['0827'];[''];[''];aktiv;Welcome;I;s;My *pet* is a dog.;;[]
69;to play;['to play'];[('to', ['V TO']), ('play', ['V INF'])];['T0 T400'];['play'];[('play', ['V INF'])];[('play', 'V')];spielen;[['spielen']];[''];['8156'];[''];[''];aktiv;Welcome;I;v;;ID1383696;['62']
70;game;['game'];[('game', ['N 3sg'])];['G500'];['game'];[('game', ['N 3sg'])];[('game', 'N')];Spiel;[['Spiel']];[''];['815'];[''];[''];aktiv;Welcome;I;s;;;[]
71;Are you …?;['Are you'];[('Are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc'])];['A60 A00'];['are', 'you'];[('are', ['V 2sg PRES', 'V PRES pl']), ('you', ['Pron 2nd nomacc'])];[('are', 'V'), ('you', 'Pron')];Bist du …?;[['Bist du']];[''];['182 2'];[''];[''];passiv;Welcome;I;ph;;;[]
72;last name;['last name'];[('last', ['N 3sg']), ('name', ['N 3sg'])];['L230 L500'];['last', 'name'];[('last', ['N 3sg']), ('name', ['N 3sg'])];[('last', 'N'), ('name', 'N')];Familienname;[['Familienname']];[''];['36566'];[''];[''];passiv;Welcome;I;s;;;[]
73;How many ...?;['How many'];[('How', ['Adv wh']), ('many', ['A'])];['H00 H500'];['how', 'many'];[('how', ['Adv wh']), ('many', ['A'])];[('how', 'Adv'), ('many', 'A')];Wie viele ...?;[['Wie viele']];[''];['3 35'];[''];[''];passiv;Welcome;I;ph;;;['52']
74;pink;['pink'];[('pink', ['A'])];['P520'];['pink'];[('pink', ['A'])];[('pink', 'A')];rosa, pink;[['rosa'], ['pink']];[''];[['78'], ['164']];[''];[''];aktiv;Welcome;I;a;;;['52', '83']
75;thing;['thing'];[('thing', ['N 3sg'])];['T5200'];['thing'];[('thing', ['N 3sg'])];[('thing', 'N')];Ding, Gegenstand, Sache;[['Ding'], ['Gegenstand'], ['Sache']];[''];[['264'], ['4468262'], ['84']];[''];[''];aktiv;Welcome;I;s;;;['52']
76;purple;['purple'];[('purple', ['A'])];['P61400'];['purple'];[('purple', ['A'])];[('purple', 'A')];violett, lila;[['violett'], ['lila']];[''];[['352'], ['55']];[''];[''];aktiv;Welcome;I;a;;;[]
77;red;['red'];[('red', ['A'])];['R30'];['red'];[('red', ['A'])];[('red', 'A')];rot;[['rot']];[''];['72'];[''];[''];aktiv;Welcome;I;a;;;[]
78;orange;['orange'];[('orange', ['A', 'N 3sg'])];['O65200'];['orange'];[('orange', ['A', 'N 3sg'])];[[('orange', 'A')], [('orange', 'N')]];orange, orange(farben);[['orange'], ['orange'], ['orangefarben']];[''];[['0764'], ['0764'], ['07643716']];[''];[''];aktiv;Welcome;I;s/a;;;[]
79;grey;['grey'];[('grey', ['A'])];['G600'];['grey'];[('grey', ['A'])];[('grey', 'A')];grau;[['grau']];[''];['47'];[''];[''];aktiv;Welcome;I;a;;;[]
80;yellow;['yellow'];[('yellow', ['A'])];['Y40000'];['yellow'];[('yellow', ['A'])];[('yellow', 'A')];gelb;[['gelb']];[''];['451'];[''];[''];aktiv;Welcome;I;a;;;[]
81;green;['green'];[('green', ['A'])];['G6500'];['green'];[('green', ['A'])];[('green', 'A')];grün;[['grün']];[''];['476'];[''];[''];aktiv;Welcome;I;a;;;[]
